Columns,Correlation Ratio,Target Column
YoY Rent Roll Change (Rev / OSF),1.3097208684434066e-08,Effective Rent
New Lease Term,1.261634791216126e-08,Effective Rent
Average Vacant Days,1.219176167884371e-08,Effective Rent
New Lease Rate Change (Trade Out),1.2120968802648702e-08,Effective Rent
Renewal Conversion,1.1370962795066157e-08,Effective Rent
Renewal Lease Rate Change (Trade Out),1.094642844561159e-08,Effective Rent
Rate Change (Trade Out),1.0880011220109716e-08,Effective Rent
Niche_Low-Rise,2.135169623218454e-09,Effective Rent
Operating and Maintenance %,2.007747862261401e-09,Effective Rent
Marketing Expenses %,1.5456883308231517e-09,Effective Rent
YoY Expense Change per Unit (%),1.4962320341324215e-09,Effective Rent
Leads (Guest Cards) per Unit,1.2410766606953001e-09,Effective Rent
Utilities %,9.361649625642504e-10,Effective Rent
Operating and Maintenance per Unit,8.533145899342173e-10,Effective Rent
Payroll and Related Expenses per Unit,8.399061161846565e-10,Effective Rent
Administrative Expenses per Unit,8.385408435237928e-10,Effective Rent
Utilities per Unit,8.347767787928809e-10,Effective Rent
Expense % of Revenue,8.273680298628593e-10,Effective Rent
Management Fees %,8.263813650859353e-10,Effective Rent
Taxes %,7.81960573349071e-10,Effective Rent
NOI per Unit,6.805638360425293e-10,Effective Rent
YoY Noi Change per Unit (%),5.616605201592166e-10,Effective Rent
Insurance per Unit,5.374885503275264e-10,Effective Rent
Taxes per Unit,5.328855801326462e-10,Effective Rent
Turnover Costs %,5.289285389312416e-10,Effective Rent
Insurance %,5.160693379509056e-10,Effective Rent
Payroll and Related Expenses %,4.504977806574397e-10,Effective Rent
Marketing Expenses per Unit,4.3735761304591655e-10,Effective Rent
NOI % of Revenue,4.12116483568319e-10,Effective Rent
Management Fees per Unit,3.2942178807691757e-10,Effective Rent
Administrative Expenses %,2.977303975323707e-10,Effective Rent
Turnover Costs per Unit,2.889528955188977e-10,Effective Rent
Expense per Unit,2.683555546950841e-10,Effective Rent
Quarterly Total Permits,2.427444544969638e-10,Effective Rent
Annual Multifamily Permits,2.302871525248475e-10,Effective Rent
MoM Total Permits Change,1.8678570370983092e-10,Effective Rent
Total Employment,1.8045015805125062e-10,Effective Rent
QoQ Employment Change (%),1.787457340356199e-10,Effective Rent
MoM Single-Family Permits Change,1.6233149442580853e-10,Effective Rent
Monthly Multifamily Permits,1.6125138286162374e-10,Effective Rent
YoY Single-Family Permits Change,1.5601890942296524e-10,Effective Rent
Annual Total Permits,1.5520205680619526e-10,Effective Rent
MoM Multifamily Permits Change,1.4937724607198602e-10,Effective Rent
MoM Employment Change (%),1.4451246448016604e-10,Effective Rent
QoQ Total Permits Change,1.3747659399842671e-10,Effective Rent
YoY Total Permits Change,1.3726607712848474e-10,Effective Rent
Quarterly Single-Family Permits,1.252183221233291e-10,Effective Rent
YoY Multifamily Permits Change,1.1895495303188055e-10,Effective Rent
QoQ Employment Change (#),1.0374633271696373e-10,Effective Rent
Monthly Single-Family Permits,1.023553344178842e-10,Effective Rent
QoQ Single-Family Permits Change,9.660329333225016e-11,Effective Rent
MoM Employment Change (#),8.600981423020151e-11,Effective Rent
Annual Single-Family Permits,8.20131523573081e-11,Effective Rent
YoY Employment Change (%),8.110635742078518e-11,Effective Rent
Monthly Total Permits,7.429699793687266e-11,Effective Rent
Quarterly Multifamily Permits,6.93579725869751e-11,Effective Rent
YoY Employment Change (#),6.205717138774597e-11,Effective Rent
QoQ Multifamily Permits Change,5.3705842742719267e-11,Effective Rent
Other Expenses %,0,Effective Rent
Median Rent-to-Income Ratio,0,Effective Rent
Quarterly Removals,0,Effective Rent
Quarterly Net Inventory,0,Effective Rent
Annual Supply,0,Effective Rent
Quarterly Net Inventory Ratio,0,Effective Rent
Annual Removals,0,Effective Rent
Quarterly Supply,0,Effective Rent
Annual Property Starts,0,Effective Rent
Average Monthly Income,0,Effective Rent
Annual Net Supply,0,Effective Rent
Property Starts,0,Effective Rent
Unit Starts,0,Effective Rent
Annual Unit Starts,0,Effective Rent
Units Under Construction,0,Effective Rent
Annual Demand,0,Effective Rent
Annual Net Inventory Ratio,0,Effective Rent
Quarterly Demand,0,Effective Rent
Other Expenses per Unit,0,Effective Rent
Revenue (Rev / ASF),0.997694861,Rent Roll (Rev / OSF)
Renewal Conversion,0.000251706,Rent Roll (Rev / OSF)
Rate Change (Trade Out),0.000238709,Rent Roll (Rev / OSF)
New Lease Rate Change (Trade Out),0.00021931,Rent Roll (Rev / OSF)
Average Vacant Days,8.792420889346736e-05,Rent Roll (Rev / OSF)
YoY Renewal Conversion Change,8.14122141440047e-05,Rent Roll (Rev / OSF)
YoY Asking Rent Change 1,8.079564464551522e-05,Rent Roll (Rev / OSF)
New Lease Applications per Unit,7.884395458708241e-05,Rent Roll (Rev / OSF)
Average Unit Size (SF),6.825277398489261e-05,Rent Roll (Rev / OSF)
YoY Rent Roll Change (Rev / OSF),6.154875827940036e-05,Rent Roll (Rev / OSF)
YoY Occupancy Change 1,5.6192769474342533e-05,Rent Roll (Rev / OSF)
YoY Revenue Change (Rev / ASF),5.376125748622026e-05,Rent Roll (Rev / OSF)
YoY Effective Rent Change 1,4.906379548029801e-05,Rent Roll (Rev / OSF)
Ora Score,4.812128603185045e-05,Rent Roll (Rev / OSF)
Percent Sampled,4.63206885655842e-05,Rent Roll (Rev / OSF)
Average Year Built of Sample,3.932200791494819e-05,Rent Roll (Rev / OSF)
Asking Rent Change 1,3.672390168727208e-05,Rent Roll (Rev / OSF)
Renewal Lease Rate Change (Trade Out),3.653902545462912e-05,Rent Roll (Rev / OSF)
Effective RPSF,3.628171231164897e-05,Rent Roll (Rev / OSF)
Asking RPSF,3.619660490668362e-05,Rent Roll (Rev / OSF)
Year,3.3082188867722595e-05,Rent Roll (Rev / OSF)
Annual Units Sampled,3.2218850609430354e-05,Rent Roll (Rev / OSF)
YoY Ora Score Change,3.215636344556181e-05,Rent Roll (Rev / OSF)
YoY Effective Rent Change,3.1778965678256204e-05,Rent Roll (Rev / OSF)
Yoy Asking Rent Change,3.1464701371434234e-05,Rent Roll (Rev / OSF)
QoQ Ora Score Change,2.9584499900555802e-05,Rent Roll (Rev / OSF)
YoY Occupancy Change,2.938808137035876e-05,Rent Roll (Rev / OSF)
Renewal Lease Term,2.914802263176714e-05,Rent Roll (Rev / OSF)
Effective Rent Change 1,2.7210237582041743e-05,Rent Roll (Rev / OSF)
Percent of Units Offering Concessions,2.6626526711245734e-05,Rent Roll (Rev / OSF)
Units Sampled 1,2.528980469861697e-05,Rent Roll (Rev / OSF)
Concession (% of Asking Rent),2.458805200981791e-05,Rent Roll (Rev / OSF)
Asking Rent,2.271891790837923e-05,Rent Roll (Rev / OSF)
Vacancy,2.2709224055567304e-05,Rent Roll (Rev / OSF)
Month,2.2505394573284303e-05,Rent Roll (Rev / OSF)
Occupancy,2.202684386004034e-05,Rent Roll (Rev / OSF)
Concession ($),2.1749774591810782e-05,Rent Roll (Rev / OSF)
New Lease Term,1.9879722858131365e-05,Rent Roll (Rev / OSF)
Effective Rent,1.9805395182305307e-05,Rent Roll (Rev / OSF)
Units Sampled,1.9686491334989737e-05,Rent Roll (Rev / OSF)
Annual Properties Sampled,1.9350997373688897e-05,Rent Roll (Rev / OSF)
Signed Renewal Leases per Unit,1.7497159166877875e-05,Rent Roll (Rev / OSF)
Effective Rent Change,1.7396004485712567e-05,Rent Roll (Rev / OSF)
Asking Rent Change,1.6675164738499506e-05,Rent Roll (Rev / OSF)
Properties Sampled 1,1.4367910011960963e-05,Rent Roll (Rev / OSF)
Occupancy Change,1.2868163805412322e-05,Rent Roll (Rev / OSF)
Properties Sampled,1.2278375046086328e-05,Rent Roll (Rev / OSF)
Annual Transaction Volume (#),6.5074492266932145e-06,Rent Roll (Rev / OSF)
Existing Units,5.806405357262257e-06,Rent Roll (Rev / OSF)
Annual Price per Unit,5.494909670959062e-06,Rent Roll (Rev / OSF)
Niche_Class A,3.869390870725409e-06,Rent Roll (Rev / OSF)
Annual Cap Rate,3.317743449918193e-06,Rent Roll (Rev / OSF)
Annual Transaction Volume ($),3.204637734294386e-06,Rent Roll (Rev / OSF)
Category_Class,3.1703303330491607e-06,Rent Roll (Rev / OSF)
Category_Year Built,2.9555977194181416e-06,Rent Roll (Rev / OSF)
Niche_2000s,2.8315468742196305e-06,Rent Roll (Rev / OSF)
Leads (Guest Cards) per Unit,2.5635343094622495e-06,Rent Roll (Rev / OSF)
Niche_1990s,2.2847053995463533e-06,Rent Roll (Rev / OSF)
Niche_High-Rise,2.224097522355922e-06,Rent Roll (Rev / OSF)
Niche_2010s,1.5679181576185237e-06,Rent Roll (Rev / OSF)
Niche_Class B,1.014104570661625e-06,Rent Roll (Rev / OSF)
Niche_Totals,7.967299501153958e-07,Rent Roll (Rev / OSF)
Management Fees %,7.821741509577619e-07,Rent Roll (Rev / OSF)
Administrative Expenses per Unit,7.740550505895687e-07,Rent Roll (Rev / OSF)
Niche_2020+,6.503901761911821e-07,Rent Roll (Rev / OSF)
Operating and Maintenance %,6.46205568871619e-07,Rent Roll (Rev / OSF)
Operating and Maintenance per Unit,6.390133675984001e-07,Rent Roll (Rev / OSF)
Management Fees per Unit,6.287789597931945e-07,Rent Roll (Rev / OSF)
YoY Expense Change per Unit (%),5.969277066677112e-07,Rent Roll (Rev / OSF)
NOI % of Revenue,5.809606857697566e-07,Rent Roll (Rev / OSF)
Administrative Expenses %,5.291330669960588e-07,Rent Roll (Rev / OSF)
YoY Noi Change per Unit (%),5.257772249455427e-07,Rent Roll (Rev / OSF)
Taxes per Unit,5.035876521772081e-07,Rent Roll (Rev / OSF)
Marketing Expenses %,5.017018686510212e-07,Rent Roll (Rev / OSF)
Taxes %,4.918437303574725e-07,Rent Roll (Rev / OSF)
Turnover Costs %,4.809263667647816e-07,Rent Roll (Rev / OSF)
Utilities %,4.788687970218338e-07,Rent Roll (Rev / OSF)
Utilities per Unit,4.754638451212105e-07,Rent Roll (Rev / OSF)
Payroll and Related Expenses %,4.684990162870663e-07,Rent Roll (Rev / OSF)
Insurance per Unit,4.50641985953172e-07,Rent Roll (Rev / OSF)
Category_Totals,4.502680799499264e-07,Rent Roll (Rev / OSF)
Niche_Low-Rise,4.429619131546413e-07,Rent Roll (Rev / OSF)
NOI per Unit,4.060001230139657e-07,Rent Roll (Rev / OSF)
QoQ Single-Family Permits Change,3.9975040507946964e-07,Rent Roll (Rev / OSF)
Turnover Costs per Unit,3.9309152893297685e-07,Rent Roll (Rev / OSF)
Marketing Expenses per Unit,3.5701778973686935e-07,Rent Roll (Rev / OSF)
Niche_1980s,3.483763604748661e-07,Rent Roll (Rev / OSF)
Payroll and Related Expenses per Unit,3.4245870649627155e-07,Rent Roll (Rev / OSF)
Niche_1970s,3.423125174594773e-07,Rent Roll (Rev / OSF)
Expense per Unit,3.3610667654632246e-07,Rent Roll (Rev / OSF)
Insurance %,3.0811683360477854e-07,Rent Roll (Rev / OSF)
Expense % of Revenue,3.0157156402359863e-07,Rent Roll (Rev / OSF)
Niche_Class C,2.735784630650804e-07,Rent Roll (Rev / OSF)
Niche_Mid-Rise,2.2037598165634624e-07,Rent Roll (Rev / OSF)
QoQ Employment Change (%),1.2003724599487198e-07,Rent Roll (Rev / OSF)
YoY Total Permits Change,1.1630993739811787e-07,Rent Roll (Rev / OSF)
MoM Employment Change (%),9.301077002734947e-08,Rent Roll (Rev / OSF)
Annual Single-Family Permits,7.86393561530943e-08,Rent Roll (Rev / OSF)
YoY Multifamily Permits Change,6.942367800950109e-08,Rent Roll (Rev / OSF)
QoQ Employment Change (#),6.39986520262607e-08,Rent Roll (Rev / OSF)
Annual Multifamily Permits,6.374026305627273e-08,Rent Roll (Rev / OSF)
YoY Single-Family Permits Change,6.317780973188377e-08,Rent Roll (Rev / OSF)
YoY Employment Change (%),5.912333596648399e-08,Rent Roll (Rev / OSF)
Total Employment,5.133865997497233e-08,Rent Roll (Rev / OSF)
Monthly Total Permits,4.770298491038762e-08,Rent Roll (Rev / OSF)
Annual Total Permits,4.711388741403363e-08,Rent Roll (Rev / OSF)
QoQ Multifamily Permits Change,4.69782583547023e-08,Rent Roll (Rev / OSF)
MoM Single-Family Permits Change,4.598400156789313e-08,Rent Roll (Rev / OSF)
Monthly Single-Family Permits,4.541528272831214e-08,Rent Roll (Rev / OSF)
YoY Employment Change (#),4.2860448350964236e-08,Rent Roll (Rev / OSF)
Niche_Pre-1970,4.170475083737763e-08,Rent Roll (Rev / OSF)
Quarterly Total Permits,3.589061059999006e-08,Rent Roll (Rev / OSF)
Quarterly Single-Family Permits,3.503364878351587e-08,Rent Roll (Rev / OSF)
Quarterly Multifamily Permits,3.103325190060374e-08,Rent Roll (Rev / OSF)
MoM Employment Change (#),3.005352081585507e-08,Rent Roll (Rev / OSF)
QoQ Total Permits Change,2.9643931105844203e-08,Rent Roll (Rev / OSF)
MoM Total Permits Change,2.7719906737433295e-08,Rent Roll (Rev / OSF)
MoM Multifamily Permits Change,2.1093313665533754e-08,Rent Roll (Rev / OSF)
Monthly Multifamily Permits,1.765810121004858e-08,Rent Roll (Rev / OSF)
Median Rent-to-Income Ratio,0,Rent Roll (Rev / OSF)
Niche_Eff,0,Rent Roll (Rev / OSF)
Niche_2 BR,0,Rent Roll (Rev / OSF)
Other Expenses %,0,Rent Roll (Rev / OSF)
Niche_3 BR,0,Rent Roll (Rev / OSF)
Quarterly Removals,0,Rent Roll (Rev / OSF)
Category_Unit Type,0,Rent Roll (Rev / OSF)
Other Expenses per Unit,0,Rent Roll (Rev / OSF)
Annual Removals,0,Rent Roll (Rev / OSF)
Annual Net Supply,0,Rent Roll (Rev / OSF)
Property Starts,0,Rent Roll (Rev / OSF)
Annual Property Starts,0,Rent Roll (Rev / OSF)
Unit Starts,0,Rent Roll (Rev / OSF)
Annual Unit Starts,0,Rent Roll (Rev / OSF)
Units Under Construction,0,Rent Roll (Rev / OSF)
Annual Demand,0,Rent Roll (Rev / OSF)
Annual Net Inventory Ratio,0,Rent Roll (Rev / OSF)
Quarterly Demand,0,Rent Roll (Rev / OSF)
Quarterly Net Inventory,0,Rent Roll (Rev / OSF)
Quarterly Supply,0,Rent Roll (Rev / OSF)
Average Monthly Income,0,Rent Roll (Rev / OSF)
Annual Supply,0,Rent Roll (Rev / OSF)
ZIP Code,0,Rent Roll (Rev / OSF)
Quarterly Net Inventory Ratio,0,Rent Roll (Rev / OSF)
Effective Rent,0.9976492365433016,Asking Rent
Percent of Units Offering Concessions,0.001651947,Asking Rent
Concession ($),0.000410843,Asking Rent
Concession (% of Asking Rent),7.163628801974098e-05,Asking Rent
Asking RPSF,5.1578438620125924e-05,Asking Rent
Effective RPSF,4.0223576114689216e-05,Asking Rent
Average Year Built of Sample,1.2849482012609383e-05,Asking Rent
YoY Effective Rent Change 1,1.162261699638328e-05,Asking Rent
Yoy Asking Rent Change,8.811014041154235e-06,Asking Rent
YoY Asking Rent Change 1,7.5556568742541476e-06,Asking Rent
YoY Effective Rent Change,7.08658056847572e-06,Asking Rent
Annual Units Sampled,6.302398553076393e-06,Asking Rent
Units Sampled,6.298531626808698e-06,Asking Rent
ZIP Code,6.141532506751403e-06,Asking Rent
Year,5.600720890692423e-06,Asking Rent
Vacancy,4.250793346268269e-06,Asking Rent
Occupancy,4.156683842772362e-06,Asking Rent
Percent Sampled,3.7018566106562295e-06,Asking Rent
Average Unit Size (SF),3.575178900028455e-06,Asking Rent
Units Sampled 1,3.497143947158513e-06,Asking Rent
Effective Rent Change,3.361172223611212e-06,Asking Rent
YoY Occupancy Change,3.1375655403204933e-06,Asking Rent
Annual Properties Sampled,2.940842457354859e-06,Asking Rent
Month,2.771803322560187e-06,Asking Rent
Asking Rent Change 1,2.6241150629497092e-06,Asking Rent
YoY Occupancy Change 1,2.6086840887523376e-06,Asking Rent
Effective Rent Change 1,2.56275837965016e-06,Asking Rent
Asking Rent Change,2.5617174277360727e-06,Asking Rent
Properties Sampled 1,2.207937464995105e-06,Asking Rent
Occupancy Change,1.8188360742062574e-06,Asking Rent
Properties Sampled,1.5737662292397009e-06,Asking Rent
Ora Score,8.348396888531184e-07,Asking Rent
Category_Unit Type,5.550283744217589e-07,Asking Rent
YoY Ora Score Change,4.353636012277732e-07,Asking Rent
Niche_3 BR,4.178781762378392e-07,Asking Rent
Niche_2010s,3.8761155050084595e-07,Asking Rent
QoQ Ora Score Change,3.39428879717433e-07,Asking Rent
Niche_Class C,2.422381456028199e-07,Asking Rent
Niche_2 BR,2.2804260503156674e-07,Asking Rent
Niche_1980s,2.2699070224434635e-07,Asking Rent
Category_Year Built,2.2382798493058333e-07,Asking Rent
Niche_2020+,8.461908408002031e-08,Asking Rent
Niche_2000s,7.045385433567625e-08,Asking Rent
Category_Class,6.945411072654776e-08,Asking Rent
Niche_1990s,6.937347465181167e-08,Asking Rent
Niche_Totals,6.726894619171185e-08,Asking Rent
Niche_Class B,6.241286566490867e-08,Asking Rent
Category_Totals,6.107889526338283e-08,Asking Rent
Niche_Pre-1970,5.5856736860975e-08,Asking Rent
Niche_1970s,4.7269146142839896e-08,Asking Rent
Niche_Eff,4.688453640522938e-08,Asking Rent
Niche_Class A,4.072968483810437e-08,Asking Rent
Existing Units,2.252513469483126e-08,Asking Rent
Niche_High-Rise,2.189321010618433e-08,Asking Rent
Annual Cap Rate,2.1486740968557627e-08,Asking Rent
Annual Price per Unit,2.0267533015935757e-08,Asking Rent
Annual Transaction Volume ($),2.02472324117973e-08,Asking Rent
YoY Rent Roll Change (Rev / OSF),1.869209851248634e-08,Asking Rent
YoY Revenue Change (Rev / ASF),1.7448275459349207e-08,Asking Rent
Annual Transaction Volume (#),1.5781389397448564e-08,Asking Rent
Revenue (Rev / ASF),1.568419430547093e-08,Asking Rent
Renewal Lease Rate Change (Trade Out),1.5404788726924774e-08,Asking Rent
YoY Renewal Conversion Change,1.3719019481816689e-08,Asking Rent
Renewal Conversion,1.3405303756164788e-08,Asking Rent
Rent Roll (Rev / OSF),1.2523501916857117e-08,Asking Rent
New Lease Applications per Unit,1.2474491262990924e-08,Asking Rent
New Lease Term,1.2302078471790804e-08,Asking Rent
Average Vacant Days,1.2025342327322823e-08,Asking Rent
Renewal Lease Term,1.1682086838567729e-08,Asking Rent
Signed Renewal Leases per Unit,1.1460202010809035e-08,Asking Rent
Rate Change (Trade Out),1.1356167799010055e-08,Asking Rent
New Lease Rate Change (Trade Out),1.1191533215279108e-08,Asking Rent
Niche_Mid-Rise,5.1969908153062895e-09,Asking Rent
Operating and Maintenance %,2.943047057628404e-09,Asking Rent
Utilities per Unit,2.754493206644003e-09,Asking Rent
Management Fees %,2.401745972844084e-09,Asking Rent
Taxes per Unit,2.0570197219744135e-09,Asking Rent
YoY Expense Change per Unit (%),1.930366900415792e-09,Asking Rent
YoY Noi Change per Unit (%),1.8796750687358836e-09,Asking Rent
Niche_Low-Rise,1.7723130614732718e-09,Asking Rent
Leads (Guest Cards) per Unit,1.6201974080531575e-09,Asking Rent
Expense % of Revenue,1.4030331979404322e-09,Asking Rent
Turnover Costs per Unit,1.3707894828394312e-09,Asking Rent
NOI % of Revenue,1.1716799043869226e-09,Asking Rent
Operating and Maintenance per Unit,8.54033567583732e-10,Asking Rent
Payroll and Related Expenses per Unit,8.222799084837563e-10,Asking Rent
Insurance %,6.622844468357755e-10,Asking Rent
Insurance per Unit,6.533882120010605e-10,Asking Rent
Marketing Expenses per Unit,6.186932428330562e-10,Asking Rent
Management Fees per Unit,6.026868695120188e-10,Asking Rent
Turnover Costs %,5.538686946622113e-10,Asking Rent
MoM Employment Change (#),5.501773027522729e-10,Asking Rent
Marketing Expenses %,4.876654293342735e-10,Asking Rent
NOI per Unit,4.855783608247089e-10,Asking Rent
Administrative Expenses %,4.6147069882619827e-10,Asking Rent
Administrative Expenses per Unit,4.449831133232391e-10,Asking Rent
Utilities %,3.9382523878218124e-10,Asking Rent
Payroll and Related Expenses %,3.863623865210123e-10,Asking Rent
Taxes %,3.5898292516914834e-10,Asking Rent
Expense per Unit,3.5586393571424177e-10,Asking Rent
Annual Total Permits,2.6126545127259356e-10,Asking Rent
MoM Single-Family Permits Change,2.61193786503976e-10,Asking Rent
MoM Employment Change (%),1.8182369929050898e-10,Asking Rent
Monthly Total Permits,1.786929844439213e-10,Asking Rent
Total Employment,1.4756569278295924e-10,Asking Rent
YoY Total Permits Change,1.3467179396852922e-10,Asking Rent
MoM Total Permits Change,1.3244326318455256e-10,Asking Rent
Quarterly Single-Family Permits,1.1938813739002974e-10,Asking Rent
MoM Multifamily Permits Change,1.189814524092009e-10,Asking Rent
YoY Multifamily Permits Change,1.1392775628865715e-10,Asking Rent
QoQ Employment Change (#),1.1025824393671852e-10,Asking Rent
Annual Multifamily Permits,1.0860825886550345e-10,Asking Rent
Monthly Single-Family Permits,1.0843603790850603e-10,Asking Rent
YoY Employment Change (%),1.0676529442548835e-10,Asking Rent
QoQ Employment Change (%),1.0456843748957785e-10,Asking Rent
Annual Single-Family Permits,1.0005529659993423e-10,Asking Rent
Quarterly Multifamily Permits,9.725323198528446e-11,Asking Rent
YoY Single-Family Permits Change,9.413941624243381e-11,Asking Rent
QoQ Single-Family Permits Change,9.356655862257632e-11,Asking Rent
Quarterly Total Permits,8.920839254259806e-11,Asking Rent
QoQ Total Permits Change,6.411201406736781e-11,Asking Rent
YoY Employment Change (#),6.402454015568391e-11,Asking Rent
Monthly Multifamily Permits,5.860043138844239e-11,Asking Rent
QoQ Multifamily Permits Change,5.5619427513241436e-11,Asking Rent
Annual Net Inventory Ratio,0,Asking Rent
Quarterly Demand,0,Asking Rent
Annual Demand,0,Asking Rent
Other Expenses %,0,Asking Rent
Median Rent-to-Income Ratio,0,Asking Rent
Average Monthly Income,0,Asking Rent
Other Expenses per Unit,0,Asking Rent
Quarterly Net Inventory Ratio,0,Asking Rent
Quarterly Net Inventory,0,Asking Rent
Quarterly Removals,0,Asking Rent
Annual Supply,0,Asking Rent
Annual Removals,0,Asking Rent
Annual Net Supply,0,Asking Rent
Property Starts,0,Asking Rent
Annual Property Starts,0,Asking Rent
Unit Starts,0,Asking Rent
Annual Unit Starts,0,Asking Rent
Units Under Construction,0,Asking Rent
Quarterly Supply,0,Asking Rent
Asking RPSF,0.9855298556853267,Effective RPSF
Average Unit Size (SF),0.010401015784259775,Effective RPSF
Percent of Units Offering Concessions,0.002584098,Effective RPSF
Concession (% of Asking Rent),0.000479188,Effective RPSF
Effective Rent,0.000288892,Effective RPSF
Asking Rent,0.000187689,Effective RPSF
Concession ($),7.340766646928555e-05,Effective RPSF
Niche_Pre-1970,6.544274628450198e-05,Effective RPSF
Units Sampled 1,5.8095293330715036e-05,Effective RPSF
Average Year Built of Sample,4.699845425256146e-05,Effective RPSF
Properties Sampled 1,3.3696959135373565e-05,Effective RPSF
Units Sampled,3.2981295807906403e-05,Effective RPSF
Year,3.132467333002323e-05,Effective RPSF
Month,3.087686962447631e-05,Effective RPSF
Category_Class,2.4822204455166468e-05,Effective RPSF
Category_Year Built,2.203552551342865e-05,Effective RPSF
Percent Sampled,1.3731886977819635e-05,Effective RPSF
Annual Units Sampled,1.2665065765396013e-05,Effective RPSF
Occupancy,9.82922342996948e-06,Effective RPSF
YoY Effective Rent Change,9.245682537110823e-06,Effective RPSF
YoY Effective Rent Change 1,8.575519101258877e-06,Effective RPSF
Effective Rent Change,5.352080979783335e-06,Effective RPSF
Asking Rent Change,4.790606339586073e-06,Effective RPSF
Asking Rent Change 1,4.3071458667463605e-06,Effective RPSF
Effective Rent Change 1,4.2933433295660314e-06,Effective RPSF
Vacancy,3.976053722134777e-06,Effective RPSF
Annual Properties Sampled,3.7342284386075414e-06,Effective RPSF
ZIP Code,3.6092069260257236e-06,Effective RPSF
YoY Occupancy Change 1,3.1622381211516436e-06,Effective RPSF
YoY Asking Rent Change 1,3.1123234466948342e-06,Effective RPSF
YoY Occupancy Change,2.927628537746783e-06,Effective RPSF
Yoy Asking Rent Change,2.91607617945076e-06,Effective RPSF
Occupancy Change,2.3447217679257304e-06,Effective RPSF
