Variable Code,Description,Description2
DP05_0007E,Estimate!!SEX AND AGE!!Total population!!10 to 14 years,10 to 14 years
DP05_0001E,Estimate!!SEX AND AGE!!Total population,Total population
DP05_0002E,Estimate!!SEX AND AGE!!Total population!!Male,Male
DP05_0003E,Estimate!!SEX AND AGE!!Total population!!Female,Female
DP05_0088E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races,Two or More Races
DP05_0089E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races including Some Other Race,Two races including Some Other Race
DP05_0084E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,American Indian and Alaska Native alone
DP05_0085E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Asian alone
DP05_0086E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Native Hawaiian and Other Pacific Islander alone
DP05_0087E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some Other Race alone,Some Other Race alone
DP05_0080E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,Other Hispanic or Latino
DP05_0081E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,Not Hispanic or Latino
DP05_0082E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,White alone
DP05_0083E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Black or African American alone
DP05_0016E,Estimate!!SEX AND AGE!!Total population!!75 to 84 years,75 to 84 years
DP05_0017E,Estimate!!SEX AND AGE!!Total population!!85 years and over,85 years and over
DP05_0018E,Estimate!!SEX AND AGE!!Total population!!Median age (years),Median age (years)
DP05_0019E,Estimate!!SEX AND AGE!!Total population!!Under 18 years,Under 18 years
DP05_0012E,Estimate!!SEX AND AGE!!Total population!!45 to 54 years,45 to 54 years
DP05_0013E,Estimate!!SEX AND AGE!!Total population!!55 to 59 years,55 to 59 years
DP05_0014E,Estimate!!SEX AND AGE!!Total population!!60 to 64 years,60 to 64 years
DP05_0015E,Estimate!!SEX AND AGE!!Total population!!65 to 74 years,65 to 74 years
DP05_0010E,Estimate!!SEX AND AGE!!Total population!!25 to 34 years,25 to 34 years
DP05_0011E,Estimate!!SEX AND AGE!!Total population!!35 to 44 years,35 to 44 years
DP05_0092E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","Citizen, 18 and over population"
DP05_0093E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male",Male
DP05_0094E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female",Female
DP05_0068E,Estimate!!Race alone or in combination with one or more other races!!Total population,Total population
DP05_0069E,Estimate!!Race alone or in combination with one or more other races!!Total population!!White,White
DP05_0064E,Estimate!!RACE!!Total population!!Two or More Races!!White and Asian,White and Asian
DP05_0065E,Estimate!!RACE!!Total population!!Two or More Races!!White and Some Other Race,White and Some Other Race
DP05_0066E,Estimate!!RACE!!Total population!!Two or More Races!!Black or African American and American Indian and Alaska Native,Black or African American and American Indian and Alaska Native
DP05_0067E,Estimate!!RACE!!Total population!!Two or More Races!!Black or African American and Some Other Race,Black or African American and Some Other Race
DP05_0060E,Estimate!!RACE!!Total population!!One race!!Some Other Race,Some Other Race
DP05_0061E,Estimate!!RACE!!Total population!!Two or More Races,Two or More Races
DP05_0062E,Estimate!!RACE!!Total population!!Two or More Races!!White and Black or African American,White and Black or African American
DP05_0063E,Estimate!!RACE!!Total population!!Two or More Races!!White and American Indian and Alaska Native,White and American Indian and Alaska Native
DP05_0076E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Hispanic or Latino (of any race)
DP05_0077E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,Mexican
DP05_0078E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,Puerto Rican
DP05_0079E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,Cuban
DP05_0072E,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Asian
DP05_0073E,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Native Hawaiian and Other Pacific Islander
DP05_0074E,Estimate!!Race alone or in combination with one or more other races!!Total population!!Some Other Race,Some Other Race
DP05_0075E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Total population
DP05_0070E,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Black or African American
DP05_0071E,Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,American Indian and Alaska Native
DP05_0048E,Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,Asian Indian
DP05_0049E,Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,Chinese
DP05_0044E,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo Nation,Navajo Nation
DP05_0045E,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Nome Eskimo Community,Nome Eskimo Community
DP05_0046E,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Other American Indian and Alaska Native,Other American Indian and Alaska Native
DP05_0047E,Estimate!!RACE!!Total population!!One race!!Asian,Asian
DP05_0040E,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,Aztec
DP05_0041E,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana
DP05_0042E,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,Maya
DP05_0043E,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government,Native Village of Barrow Inupiat Traditional Government
DP05_0056E,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,Chamorro
DP05_0057E,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Native Hawaiian
DP05_0058E,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,Samoan
DP05_0059E,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Native Hawaiian and Other Pacific Islander,Other Native Hawaiian and Other Pacific Islander
DP05_0052E,Estimate!!RACE!!Total population!!One race!!Asian!!Korean,Korean
DP05_0053E,Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,Vietnamese
DP05_0054E,Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,Other Asian
DP05_0055E,Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Native Hawaiian and Other Pacific Islander
DP05_0050E,Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,Filipino
DP05_0051E,Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,Japanese
